temperature,oil_temperature,oil_pressure,voltage,current,vibration,load,power_factor,frequency,temp_oil_delta,apparent_power_ratio,temp_rate_of_change,vib_rate_of_change,rolling_temp_std,rolling_current_std,failure_label,failure_mode,is_failure
67.54,59.32,24.95,398.39,36.12,1.58,60.86,0.93,50.01,8.21,0.719,-0.0613,-0.0049,0.233,0.618,0,NORMAL,0
60.2,53.0,20.98,405.07,28.39,1.35,49.21,0.931,50.1,7.2,0.575,0.0399,0.0121,0.99,1.437,0,NORMAL,0
57.13,48.13,21.77,399.78,29.85,0.86,48.99,0.961,50.01,9.0,0.597,0.008,-0.0009,0.98,1.713,0,NORMAL,0
85.95,77.41,43.41,365.9,35.69,3.24,57.77,0.748,49.84,8.53,0.653,0.3375,0.184,1.657,4.44,3,DIELECTRIC_FAULT,1
63.13,55.37,23.59,402.27,31.67,0.81,51.84,0.949,49.95,7.77,0.637,-0.0212,0.0241,0.414,0.762,0,NORMAL,0
63.34,54.97,23.25,400.13,40.14,1.8,68.83,0.979,50.02,8.37,0.803,-0.0051,-0.002,0.868,1.554,0,NORMAL,0
65.45,56.7,24.86,402.14,46.09,0.91,76.24,0.933,49.94,8.74,0.927,0.004,-0.0004,0.337,0.741,0,NORMAL,0
61.07,53.61,26.29,398.83,34.4,0.89,55.66,0.935,50.04,7.46,0.686,0.0184,-0.0203,0.222,1.041,0,NORMAL,0
62.01,57.43,27.43,398.73,34.22,1.82,56.63,0.943,50.08,4.57,0.682,-0.0254,-0.0006,1.162,1.28,0,NORMAL,0
62.49,57.21,26.36,396.21,40.38,10.6,72.56,0.915,49.91,5.28,0.8,-0.0214,0.1606,1.381,2.262,2,MECHANICAL_FAULT,1
92.71,104.77,32.48,391.9,70.8,2.63,116.27,0.94,50.06,-12.06,1.387,0.5834,0.0598,3.101,4.854,1,THERMAL_OVERLOAD,1
85.28,79.15,52.69,406.64,38.12,2.0,65.29,0.689,49.72,6.13,0.775,0.2664,0.0739,3.645,4.932,3,DIELECTRIC_FAULT,1
63.89,55.73,23.48,400.16,44.65,1.05,72.77,0.975,50.08,8.16,0.893,-0.0264,-0.0127,0.909,1.685,0,NORMAL,0
71.56,61.86,29.25,391.7,41.75,1.71,74.53,0.944,50.11,9.7,0.818,0.0167,0.022,0.378,0.55,0,NORMAL,0
62.33,53.1,23.88,398.08,32.31,1.86,56.41,0.931,50.02,9.23,0.643,0.047,-0.0013,0.883,1.169,0,NORMAL,0
66.79,59.06,26.52,394.67,39.91,2.16,65.15,0.94,50.0,7.73,0.788,0.0188,-0.0136,0.581,1.654,0,NORMAL,0
60.59,56.15,21.75,393.55,32.8,0.85,50.79,0.953,49.95,4.44,0.646,-0.0086,0.0325,1.163,1.747,0,NORMAL,0
58.99,49.15,26.93,400.9,30.24,1.2,48.08,0.974,50.02,9.84,0.606,0.0144,-0.0201,0.732,1.035,0,NORMAL,0
62.48,55.59,26.57,398.56,30.0,2.06,51.09,0.941,49.99,6.89,0.598,-0.0124,0.0053,0.23,1.755,0,NORMAL,0
64.88,54.99,25.45,398.94,41.37,2.03,70.01,0.957,50.02,9.89,0.825,-0.0647,0.0178,0.274,1.707,0,NORMAL,0
60.59,52.43,25.39,401.97,37.98,5.28,70.88,0.905,50.01,8.16,0.763,0.0322,0.4557,1.201,1.369,2,MECHANICAL_FAULT,1
63.14,55.95,24.5,394.1,29.06,1.79,48.34,0.978,49.99,7.2,0.573,-0.0606,0.0077,1.138,1.047,0,NORMAL,0
92.73,103.82,33.47,407.26,71.54,2.12,110.75,0.935,49.75,-11.09,1.457,0.7996,-0.0239,5.58,4.049,1,THERMAL_OVERLOAD,1
60.81,51.44,24.51,405.13,35.09,0.85,57.6,0.973,50.07,9.37,0.711,-0.041,0.0302,0.958,1.288,0,NORMAL,0
70.2,61.31,23.5,395.75,40.92,7.53,73.03,0.931,49.97,8.9,0.81,0.0105,0.4606,0.867,2.516,2,MECHANICAL_FAULT,1
104.19,102.4,25.79,389.2,86.24,3.16,128.46,0.892,49.9,1.79,1.678,0.6208,0.0995,3.009,5.484,1,THERMAL_OVERLOAD,1
64.23,57.88,24.2,396.72,40.61,0.94,67.41,0.939,49.93,6.36,0.806,-0.0353,-0.0041,1.06,1.724,0,NORMAL,0
75.32,76.67,44.71,377.99,35.5,2.72,62.43,0.837,49.8,-1.35,0.671,0.1841,0.1225,3.389,2.321,3,DIELECTRIC_FAULT,1
57.8,51.41,25.1,395.09,38.4,8.99,73.29,0.903,50.08,6.39,0.759,0.1235,0.1999,1.98,2.83,2,MECHANICAL_FAULT,1
62.17,53.72,21.4,404.67,32.26,0.88,56.32,0.977,49.95,8.45,0.653,0.0024,-0.0029,0.578,1.923,0,NORMAL,0
65.72,61.24,22.94,389.08,41.02,1.81,64.66,0.976,49.95,4.48,0.798,0.0162,0.0104,0.351,0.742,0,NORMAL,0
62.96,53.87,22.96,402.24,35.41,1.66,57.69,0.939,50.04,9.09,0.712,0.0101,-0.0187,0.825,0.735,0,NORMAL,0
63.55,53.56,23.59,405.0,33.23,1.85,59.93,0.957,50.03,9.99,0.673,0.0216,-0.0016,0.902,1.523,0,NORMAL,0
63.93,59.87,24.1,399.91,41.13,1.02,70.03,0.968,49.95,4.06,0.822,0.0049,0.0082,0.413,1.04,0,NORMAL,0
64.36,54.87,25.87,402.35,35.37,0.87,60.66,0.969,50.04,9.49,0.712,0.0118,0.0091,0.708,0.849,0,NORMAL,0
65.35,58.02,22.67,408.08,40.94,1.87,65.21,0.936,50.06,7.33,0.835,0.0343,-0.0124,1.149,0.658,0,NORMAL,0
88.67,99.45,25.21,409.18,71.88,3.72,111.66,0.889,49.73,-10.78,1.471,0.2952,0.0363,4.457,5.029,1,THERMAL_OVERLOAD,1
60.14,52.33,23.6,398.35,35.82,1.73,55.18,0.939,50.02,7.81,0.713,0.0051,-0.0303,0.489,1.492,0,NORMAL,0
63.24,54.31,22.46,397.74,33.79,1.91,54.45,0.969,49.88,8.93,0.672,0.0003,-0.0359,0.686,1.002,0,NORMAL,0
115.57,86.59,31.41,392.67,63.86,2.38,101.97,0.884,49.83,28.99,1.254,0.6769,-0.0133,4.372,3.155,1,THERMAL_OVERLOAD,1
60.4,54.56,25.49,397.51,29.94,1.45,46.78,0.973,49.97,5.84,0.595,0.0403,-0.0131,0.486,1.24,0,NORMAL,0
60.99,56.37,29.16,397.28,29.57,1.04,48.92,0.958,50.02,4.62,0.587,-0.0047,-0.0382,0.25,0.579,0,NORMAL,0
61.13,55.93,25.21,394.17,33.31,1.17,55.56,0.933,49.98,5.2,0.656,0.0206,-0.0123,1.051,1.225,0,NORMAL,0
62.17,54.42,24.17,396.48,38.72,0.98,62.15,0.971,50.0,7.74,0.768,-0.0352,-0.0011,0.665,0.88,0,NORMAL,0
62.11,57.64,25.42,395.84,26.69,0.9,48.61,0.973,50.03,4.47,0.528,-0.033,0.025,0.325,0.695,0,NORMAL,0
96.08,84.02,35.03,400.79,76.21,2.44,117.65,0.916,49.87,12.06,1.527,0.5643,0.0199,3.801,5.121,1,THERMAL_OVERLOAD,1
112.26,87.87,30.19,395.48,84.83,3.92,130.38,0.92,49.92,24.4,1.677,0.3718,0.0613,3.553,5.672,1,THERMAL_OVERLOAD,1
91.18,90.57,35.01,391.31,69.93,2.83,110.09,0.88,49.94,0.61,1.368,0.6632,0.0403,5.038,6.841,1,THERMAL_OVERLOAD,1
62.72,55.28,25.77,395.59,37.37,1.62,61.12,0.96,49.99,7.44,0.739,-0.014,-0.003,0.232,1.135,0,NORMAL,0
59.68,54.73,26.06,399.39,30.41,0.82,49.19,0.958,49.97,4.95,0.607,0.0039,-0.0476,0.763,0.97,0,NORMAL,0
86.08,86.02,8.62,395.86,37.42,3.67,74.11,0.794,49.77,0.06,0.741,0.3119,0.0473,2.996,2.89,3,DIELECTRIC_FAULT,1
64.48,58.98,26.01,397.7,37.99,1.65,59.37,0.959,49.99,5.5,0.755,-0.069,-0.0164,0.414,0.658,0,NORMAL,0
65.64,56.2,27.91,394.49,46.16,2.08,77.4,0.949,49.98,9.44,0.911,-0.0432,0.017,0.25,1.322,0,NORMAL,0
65.36,59.01,23.98,403.56,37.6,1.61,65.13,0.958,49.96,6.34,0.759,0.0042,-0.008,0.68,1.853,0,NORMAL,0
63.96,58.73,28.33,400.8,36.61,1.58,62.76,0.96,50.01,5.23,0.734,0.0091,-0.0138,1.053,1.769,0,NORMAL,0
62.99,53.63,25.83,406.72,40.79,0.86,64.87,0.962,49.94,9.37,0.829,0.0151,0.0117,1.056,0.596,0,NORMAL,0
60.4,55.66,24.01,399.0,30.01,1.38,52.67,0.975,49.95,4.74,0.599,0.006,0.0033,1.129,1.63,0,NORMAL,0
85.5,87.24,6.3,420.03,37.05,2.29,61.74,0.836,50.02,-1.74,0.778,0.2415,-0.0023,2.241,2.165,3,DIELECTRIC_FAULT,1
62.76,54.89,21.44,394.16,38.42,1.84,63.98,0.942,49.92,7.87,0.757,-0.019,0.0119,1.109,1.055,0,NORMAL,0
63.15,55.61,24.77,401.85,34.32,1.68,55.22,0.972,49.95,7.54,0.689,-0.0406,0.003,0.61,1.986,0,NORMAL,0
101.54,86.45,28.68,392.42,62.7,3.51,99.27,0.892,49.77,15.1,1.23,0.7762,0.0101,3.424,6.702,1,THERMAL_OVERLOAD,1
62.76,56.42,25.12,402.61,34.31,1.75,57.8,0.945,50.03,6.34,0.691,-0.0483,-0.0008,1.138,1.872,0,NORMAL,0
67.67,63.26,24.91,399.62,39.93,1.84,64.7,0.947,49.96,4.42,0.798,-0.0097,-0.0063,0.528,1.838,0,NORMAL,0
63.13,55.33,22.9,407.92,35.21,1.0,59.97,0.944,49.95,7.8,0.718,0.0067,-0.0389,0.864,1.072,0,NORMAL,0
58.34,50.64,24.12,392.02,30.34,1.32,50.72,0.961,50.01,7.7,0.595,0.0349,0.0002,0.859,0.744,0,NORMAL,0
64.94,56.21,25.12,399.94,28.63,1.16,52.63,0.977,49.9,8.73,0.573,-0.039,0.0017,0.473,0.624,0,NORMAL,0
66.02,61.29,28.5,401.01,40.65,1.03,67.27,0.971,50.02,4.72,0.815,0.037,-0.0084,0.527,1.131,0,NORMAL,0
71.73,66.71,26.38,391.37,35.03,8.13,69.13,0.953,50.04,5.02,0.685,0.0956,0.3261,0.845,1.167,2,MECHANICAL_FAULT,1
65.74,56.25,25.62,400.1,42.27,1.94,72.0,0.951,49.94,9.49,0.846,0.0233,0.0439,0.427,0.64,0,NORMAL,0
64.91,58.56,25.08,397.4,37.27,0.89,62.85,0.949,49.98,6.35,0.74,-0.0162,-0.0127,0.665,1.414,0,NORMAL,0
63.0,57.64,22.34,401.66,38.71,10.4,73.62,0.934,49.96,5.36,0.777,0.074,0.1303,0.856,2.591,2,MECHANICAL_FAULT,1
59.91,53.46,26.58,401.62,31.24,2.01,52.38,0.948,50.06,6.45,0.627,0.0732,0.0338,0.673,0.532,0,NORMAL,0
62.51,56.72,25.22,402.61,35.49,1.32,54.15,0.963,49.94,5.79,0.714,-0.0252,0.0007,0.484,0.653,0,NORMAL,0
60.36,52.11,24.59,403.86,33.51,1.2,59.79,0.943,49.99,8.24,0.677,-0.0063,-0.019,0.672,1.441,0,NORMAL,0
63.91,54.1,24.33,396.71,42.14,1.95,69.85,0.938,50.04,9.81,0.836,-0.0156,-0.0099,0.288,1.782,0,NORMAL,0
68.2,59.92,22.34,391.76,47.45,2.03,77.94,0.934,50.03,8.28,0.929,-0.0152,0.0485,0.518,1.74,0,NORMAL,0
83.32,78.51,11.3,406.71,50.35,2.84,86.26,0.836,49.51,4.81,1.024,0.2901,0.0885,3.287,3.87,3,DIELECTRIC_FAULT,1
64.45,60.18,23.99,398.33,44.69,1.73,75.44,0.957,50.13,4.27,0.89,0.0448,-0.0128,0.225,1.312,0,NORMAL,0
62.64,54.91,24.47,391.03,42.07,1.27,70.54,0.948,50.01,7.73,0.823,-0.0268,0.0244,1.104,1.649,0,NORMAL,0
59.96,55.61,26.46,398.69,31.72,0.86,51.79,0.936,50.0,4.34,0.632,0.022,-0.0016,0.516,1.261,0,NORMAL,0
62.17,52.91,24.25,407.97,37.46,1.62,58.58,0.975,50.06,9.26,0.764,0.0011,0.001,0.41,1.595,0,NORMAL,0
65.58,55.84,20.23,404.74,37.68,2.14,62.85,0.962,50.04,9.74,0.762,-0.0213,-0.0077,1.043,1.043,0,NORMAL,0
59.25,54.0,24.51,401.24,31.76,1.43,49.19,0.965,49.9,5.25,0.637,0.0449,0.0256,0.914,0.939,0,NORMAL,0
57.52,48.9,23.67,402.77,28.01,0.85,45.2,0.942,49.92,8.63,0.564,0.0153,0.0268,0.406,0.886,0,NORMAL,0
60.28,54.98,24.63,398.28,30.99,1.98,49.73,0.949,49.97,5.3,0.617,0.0143,0.0201,0.71,0.855,0,NORMAL,0
61.04,56.91,27.76,411.29,31.83,1.46,48.95,0.974,49.98,4.13,0.655,0.0373,0.0135,1.004,1.534,0,NORMAL,0
60.28,53.75,21.72,404.05,27.18,1.71,46.02,0.954,50.04,6.53,0.549,0.0134,-0.0117,0.637,1.943,0,NORMAL,0
116.95,99.95,28.14,389.69,63.08,2.12,100.12,0.927,49.85,17.0,1.229,0.373,-0.0326,3.59,4.235,1,THERMAL_OVERLOAD,1
63.6,58.27,24.07,399.45,29.34,1.18,48.2,0.955,50.02,5.33,0.586,0.0034,-0.0174,0.567,0.866,0,NORMAL,0
59.18,49.59,25.45,398.68,30.93,1.4,53.29,0.976,50.03,9.59,0.616,-0.0296,-0.0228,1.098,1.152,0,NORMAL,0
112.06,102.02,62.7,358.99,121.23,10.32,139.24,0.753,48.5,10.04,2.176,0.6288,0.7376,5.283,7.872,4,CRITICAL_FAILURE,1
66.32,59.47,23.74,403.87,43.2,0.92,73.18,0.97,50.05,6.84,0.872,-0.0401,-0.0135,0.829,0.781,0,NORMAL,0
57.84,51.91,26.54,402.23,29.42,1.7,53.11,0.973,50.05,5.94,0.592,0.0097,0.0029,0.651,0.517,0,NORMAL,0
58.95,50.14,28.0,401.13,33.74,6.77,62.32,0.944,49.94,8.81,0.677,0.0526,0.3537,1.758,2.461,2,MECHANICAL_FAULT,1
61.25,51.89,22.05,398.97,26.18,1.98,45.4,0.943,49.99,9.37,0.522,-0.0098,0.001,0.383,1.761,0,NORMAL,0
77.17,69.16,22.3,405.87,45.98,11.84,77.36,0.931,50.04,8.0,0.933,0.0254,0.1412,1.447,2.785,2,MECHANICAL_FAULT,1
65.81,56.97,22.23,401.29,44.0,11.4,81.71,0.93,49.99,8.84,0.883,-0.0158,0.3629,1.724,2.434,2,MECHANICAL_FAULT,1
63.22,55.49,22.42,406.9,32.1,1.98,54.29,0.946,50.01,7.72,0.653,-0.0004,0.0011,0.463,1.841,0,NORMAL,0
94.17,102.96,41.94,400.04,69.66,2.13,106.81,0.883,49.88,-8.79,1.393,0.4745,0.0057,4.417,5.744,1,THERMAL_OVERLOAD,1
67.27,61.56,22.93,403.02,48.3,2.05,77.62,0.939,50.12,5.72,0.973,-0.0326,0.0257,0.431,1.066,0,NORMAL,0
62.25,56.89,28.06,396.61,28.3,1.82,49.23,0.942,50.02,5.36,0.561,0.0249,-0.0076,0.923,1.569,0,NORMAL,0
64.21,59.13,22.97,402.82,43.13,1.54,70.2,0.971,50.0,5.08,0.869,0.0355,-0.0005,0.85,0.589,0,NORMAL,0
63.61,54.98,26.91,399.51,32.76,2.07,58.21,0.934,50.0,8.63,0.654,-0.0183,0.0119,1.005,1.775,0,NORMAL,0
65.67,56.46,25.45,394.22,44.81,0.9,76.75,0.958,50.0,9.21,0.883,0.0007,0.01,0.829,1.544,0,NORMAL,0
60.46,54.62,23.9,394.02,35.28,1.7,58.76,0.976,49.98,5.85,0.695,-0.057,0.0017,0.359,1.745,0,NORMAL,0
63.71,54.72,23.68,399.46,43.23,1.26,69.19,0.951,50.03,8.99,0.863,0.0359,-0.0318,0.964,0.771,0,NORMAL,0
62.11,56.83,22.2,395.5,42.26,0.85,67.16,0.946,50.1,5.29,0.836,0.0176,0.0192,0.925,1.547,0,NORMAL,0
64.05,57.89,27.77,398.53,38.07,1.44,66.39,0.934,49.97,6.16,0.759,-0.0152,0.0443,0.532,1.703,0,NORMAL,0
82.27,92.84,7.31,404.3,40.22,2.96,82.92,0.754,49.86,-10.57,0.813,0.1719,-0.0666,2.486,4.666,3,DIELECTRIC_FAULT,1
65.98,61.8,28.68,399.75,39.21,1.71,68.76,0.962,49.98,4.18,0.784,-0.028,-0.0212,1.053,0.541,0,NORMAL,0
64.24,59.7,23.43,403.88,46.95,2.14,77.19,0.966,50.01,4.54,0.948,0.0205,0.0193,0.79,1.175,0,NORMAL,0
59.44,51.85,22.03,395.57,33.61,1.72,55.5,0.947,49.99,7.6,0.665,-0.0353,0.0311,0.9,1.502,0,NORMAL,0
65.86,59.96,26.74,400.67,40.61,0.86,69.55,0.962,50.04,5.9,0.814,-0.0071,0.0144,1.069,0.651,0,NORMAL,0
62.4,53.58,23.74,402.61,38.65,0.96,63.03,0.934,50.15,8.82,0.778,-0.0383,-0.0217,1.154,1.675,0,NORMAL,0
91.94,85.84,35.48,404.08,84.66,3.93,129.67,0.937,49.85,6.1,1.711,0.7745,-0.0122,4.24,6.192,1,THERMAL_OVERLOAD,1
65.83,56.94,23.46,398.24,34.76,1.47,60.18,0.939,49.97,8.89,0.692,-0.048,-0.0283,0.332,1.87,0,NORMAL,0
85.77,84.37,52.47,381.12,47.53,1.94,89.72,0.749,50.01,1.4,0.906,0.2614,0.1181,3.563,3.084,3,DIELECTRIC_FAULT,1
68.52,59.96,26.22,396.76,46.64,1.29,77.86,0.953,50.02,8.56,0.925,0.0022,0.0111,0.469,1.984,0,NORMAL,0
66.82,60.24,23.62,405.58,41.48,1.03,68.93,0.938,50.02,6.57,0.841,-0.0185,0.014,0.668,1.874,0,NORMAL,0
55.64,48.7,23.48,401.08,31.77,6.88,60.64,0.908,49.96,6.94,0.637,0.0563,0.1492,1.613,2.055,2,MECHANICAL_FAULT,1
59.89,54.15,25.2,402.98,32.87,1.1,56.43,0.943,50.12,5.74,0.662,0.046,0.0212,0.366,1.423,0,NORMAL,0
63.76,55.41,25.44,396.45,35.6,1.45,60.8,0.934,49.99,8.35,0.706,-0.0166,0.046,0.206,1.985,0,NORMAL,0
97.07,85.0,29.63,401.8,72.52,2.12,112.6,0.921,49.92,12.07,1.457,0.636,0.0534,5.517,4.648,1,THERMAL_OVERLOAD,1
62.67,57.35,26.97,399.29,30.57,0.92,54.03,0.964,49.94,5.32,0.61,0.0262,0.013,0.62,1.458,0,NORMAL,0
61.43,55.22,25.11,396.82,36.79,2.04,59.13,0.968,50.02,6.21,0.73,-0.0053,-0.0391,0.739,1.695,0,NORMAL,0
66.27,58.14,24.63,402.44,41.37,0.8,65.91,0.962,50.04,8.12,0.832,0.033,-0.0093,1.049,0.717,0,NORMAL,0
59.94,52.54,24.23,402.94,30.98,1.53,49.63,0.957,49.99,7.4,0.624,0.0345,-0.0292,0.269,0.718,0,NORMAL,0
65.95,59.79,25.0,398.25,42.78,1.41,70.8,0.953,50.03,6.16,0.852,-0.0165,-0.0244,0.57,0.579,0,NORMAL,0
62.87,55.72,25.21,400.81,28.57,1.96,49.38,0.956,50.02,7.15,0.573,0.0249,-0.0213,1.123,1.762,0,NORMAL,0
105.84,113.09,48.86,346.65,122.49,15.58,140.63,0.688,49.17,-7.26,2.123,0.6388,0.8263,6.583,11.767,4,CRITICAL_FAILURE,1
73.94,68.31,26.46,394.92,40.69,6.23,70.94,0.949,49.97,5.63,0.804,0.0094,0.6269,1.468,1.896,2,MECHANICAL_FAULT,1
62.67,54.19,27.38,403.7,29.83,1.81,48.44,0.963,50.02,8.48,0.602,0.0444,0.0076,0.218,1.05,0,NORMAL,0
60.84,55.99,25.26,400.48,26.98,1.33,49.07,0.958,50.06,4.86,0.54,0.0416,-0.006,0.615,0.536,0,NORMAL,0
61.78,56.94,26.65,394.95,29.99,0.85,52.48,0.972,49.98,4.84,0.592,-0.0131,0.0023,0.802,1.139,0,NORMAL,0
68.06,61.92,24.02,407.75,43.11,1.58,72.61,0.93,50.04,6.15,0.879,-0.0184,0.0337,0.379,1.239,0,NORMAL,0
61.73,57.67,26.42,404.7,39.46,1.66,67.4,0.974,50.01,4.06,0.799,-0.0184,0.0072,1.102,0.6,0,NORMAL,0
59.04,49.53,27.69,408.88,24.21,1.64,45.4,0.976,49.97,9.51,0.495,-0.0491,-0.0184,1.087,0.574,0,NORMAL,0
62.45,58.32,23.14,398.97,34.19,1.39,53.03,0.969,50.04,4.13,0.682,-0.0574,0.0132,0.252,1.779,0,NORMAL,0
99.3,90.44,26.11,397.25,76.65,3.26,126.35,0.899,49.97,8.86,1.522,0.3204,0.0589,5.003,6.137,1,THERMAL_OVERLOAD,1
107.66,112.34,55.49,359.16,92.0,14.96,122.67,0.653,48.23,-4.67,1.652,1.7229,0.871,8.042,8.907,4,CRITICAL_FAILURE,1
73.13,67.73,27.75,393.02,42.67,5.94,71.03,0.95,50.04,5.4,0.839,0.0298,0.4168,1.693,1.595,2,MECHANICAL_FAULT,1
72.71,64.4,23.59,400.09,36.8,7.2,65.76,0.932,49.97,8.31,0.736,0.0383,0.3169,1.482,2.468,2,MECHANICAL_FAULT,1
89.31,82.33,10.12,388.98,28.83,2.46,60.53,0.829,49.77,6.98,0.561,0.1842,0.08,3.711,3.339,3,DIELECTRIC_FAULT,1
65.4,56.64,20.19,400.87,46.84,1.72,77.0,0.944,50.04,8.75,0.939,0.027,0.0066,1.008,1.478,0,NORMAL,0
130.61,98.17,52.03,354.28,94.41,8.92,152.66,0.69,48.23,32.44,1.672,1.5391,0.8467,7.656,10.156,4,CRITICAL_FAILURE,1
63.46,56.16,27.36,394.24,29.78,1.18,47.45,0.942,49.94,7.3,0.587,0.0133,0.0035,0.943,1.489,0,NORMAL,0
75.54,68.93,23.9,398.37,39.5,7.25,74.92,0.955,50.0,6.61,0.787,-0.0159,0.2539,1.258,1.822,2,MECHANICAL_FAULT,1
58.49,50.48,25.02,396.71,43.17,7.22,76.12,0.907,50.03,8.01,0.856,-0.1478,0.1525,1.386,2.292,2,MECHANICAL_FAULT,1
64.49,59.81,25.45,411.19,39.53,1.12,67.34,0.962,50.0,4.68,0.813,0.0091,0.005,0.506,0.79,0,NORMAL,0
